WS01000010,Wireless Device Setup Wizard
WS46000640,- Check the authentication/encryption method that you are selecting and make sure you are entering the correct network key
WS50000010,Installation confirmation
WS50000020,During installation the wireless settings on your computer or wireless access point will automatically be detected.Before connecting the wireless device to a corporate network please confirm with the network administrator.
WS50000030,Checked and confirmed
WS51000010,Detecting existing wireless network settings on your Computer
WS51000020,The wireless network settings of your computer or wireless access point have been detected.
WS51000030,The wireless network name detected (Wireless Access Point/Router name):
WS51000040,SSID:
WS51000050,Would you like to connect to the wireless network using these settings?
WS51000060,Yes
WS51000070,No
WS98050010,Invalid Network Key
WS98050020,(ASCII WEP Key)
WS98050030,You did not correctly enter the WEP key information.
WS98050040,64(40) bit WEP   : "Hello"
WS98050050,128(104) bit WEP : "Wirelesscomms"
WS98050060,Enter 5 or 13 text characters. For example:
WS98060010,Invalid Network Key
WS98060020,(Hex. WEP Key)
WS98060030,You did not correctly enter the WEP key information.
WS98060040,Enter 10 or 26 digits of hexadecimal data. For example:
WS98060050,64(40) bit WEP   : "71f2234aba"
WS98060060,128(104) bit WEP : "71f2234ab56cd709e5412aa3ba"
WS98070010,Exit Setup
WS98070020,Setup is not complete.
WS98070030,If you quit this setup program the Wireless Device is not configured.
WS98070040,To continue this setup program, click "Resume"
WS98070050,To quit this setup program, click "Exit".
WS98100010,Invalid Network Key
WS98100020,The Passphrase is an ASCII string of 8-63 characters.
WS98150010,Invalid Network Key
WS98150020,You did not correctly enter the network key.Enter 5 or 8-63 characters depending on your security method.
WS98150030,For more information see the Help text.
WS98160010,USB connection error
WS98160020,Please confirm that a USB cable is connected to your device.
WS98160030,Please confirm that your device is on.
WS99010010,OK
WS99010020,Cancel
WS99010030,Exit
WS99010040,< Back
WS99010050,Next >
WS99010060,Help
WS99010070,Refresh
WS99010090,Resume
WS99010100,Advanced
WS99010130,Where is my SSID?
WS99010140,Where is my network key?
WS99010150,Retry >
WS99020100,Open System
WS99020110,Shared Key
WS99020120,WPA / WPA2-PSK
WS99020160,LEAP
WS99020170,EAP-FAST
WS99020180,PEAP
WS99020190,EAP-TTLS
WS99020200,None
WS99020210,WEP
WS99020220,TKIP
WS99020230,AES
WS99020240,CKIP
WS99020250,TKIP+AES
WS99020500,EAP-TLS
WS99030100,NONE
WS99030110,GTC
WS99030120,MS-CHAPv2
WS99030130,CHAP
WS99030140,MS-CHAP
WS99030150,PAP
